chapter,character,mentions
2,Edwin Drood,8
2,John Jasper,32
2,Mr. Crisparkle,6
3,Edwin Drood,16
3,Rosa Bud,35
4,Durdles,27
4,John Jasper,21
5,Durdles,27
5,John Jasper,19
6,Helena Landless,7
6,John Jasper,2
6,Mr. Crisparkle,15
6,Neville Landless,5
7,Edwin Drood,4
7,Helena Landless,9
7,John Jasper,6
7,Mr. Crisparkle,17
7,Neville Landless,11
7,Rosa Bud,11
8,Edwin Drood,30
8,Helena Landless,1
8,John Jasper,25
8,Mr. Crisparkle,13
8,Neville Landless,34
8,Rosa Bud,1
9,Edwin Drood,13
9,Helena Landless,1
9,John Jasper,12
9,Mr. Crisparkle,1
9,Neville Landless,1
9,Rosa Bud,29
10,Edwin Drood,7
10,Helena Landless,15
10,John Jasper,20
10,Mr. Crisparkle,34
10,Neville Landless,31
11,Edwin Drood,34
11,John Jasper,1
11,Rosa Bud,7
12,Durdles,61
12,John Jasper,39
12,Mr. Crisparkle,6
12,Neville Landless,4
13,Edwin Drood,10
13,Helena Landless,4
13,Mr. Crisparkle,1
13,Rosa Bud,32
14,Durdles,1
14,Edwin Drood,5
14,Helena Landless,5
14,John Jasper,12
14,Mr. Crisparkle,23
14,Neville Landless,10
14,Rosa Bud,3
15,Edwin Drood,4
15,John Jasper,22
15,Mr. Crisparkle,9
15,Neville Landless,23
15,Rosa Bud,1
16,Edwin Drood,2
16,John Jasper,19
16,Mr. Crisparkle,17
16,Neville Landless,9
17,Edwin Drood,1
17,Helena Landless,1
17,John Jasper,3
17,Mr. Crisparkle,41
17,Neville Landless,29
18,Dick Datchery,37
18,Durdles,10
18,John Jasper,7
19,Helena Landless,2
19,John Jasper,3
19,Mr. Crisparkle,3
19,Rosa Bud,16
20,Helena Landless,9
20,John Jasper,2
20,Mr. Crisparkle,1
20,Neville Landless,1
20,Rosa Bud,30
21,Helena Landless,4
21,Mr. Crisparkle,18
21,Neville Landless,3
21,Rosa Bud,19
22,Helena Landless,19
22,John Jasper,1
22,Mr. Crisparkle,11
22,Neville Landless,6
22,Rosa Bud,52
23,Dick Datchery,20
23,Durdles,1
23,Edwin Drood,6
23,Helena Landless,1
23,John Jasper,13
23,Mr. Crisparkle,6
23,Neville Landless,2
23,Princess Puffer,3
23,Rosa Bud,4
