source,entity,count
kaggle,light,17003
kaggle,triangle,3352
kaggle,formation,2861
kaggle,fireball,2383
kaggle,sphere,1744
kaggle,oval,1534
kaggle,orb,1395
kaggle,aircraft,1323
kaggle,cigar,1143
kaggle,disk,1066
kaggle,circle,966
kaggle,disc,806
kaggle,cloud,743
kaggle,military,347
kaggle,missile,275
kaggle,YEAR_2012,261
kaggle,base,238
kaggle,YEAR_2013,198
kaggle,YEAR_2011,194
kaggle,YEAR_2010,189
kaggle,YEAR_2007,157
kaggle,YEAR_2008,149
kaggle,YEAR_2009,144
kaggle,YEAR_2000,136
kaggle,YEAR_2004,125
kaggle,YEAR_2005,112
kaggle,pilot,110
kaggle,YEAR_2006,107
kaggle,YEAR_2001,97
kaggle,YEAR_2002,90
kaggle,YEAR_2003,90
kaggle,weather,83
kaggle,YEAR_1997,71
kaggle,radar,63
kaggle,navy,62
kaggle,army,55
kaggle,YEAR_1999,51
pursue,aircraft,51
kaggle,YEAR_1978,49
kaggle,YEAR_2014,46
kaggle,YEAR_1980,45
pursue,radar,44
kaggle,YEAR_1998,44
kaggle,YEAR_1975,44
kaggle,YEAR_1966,41
kaggle,YEAR_1996,40
pursue,base,40
kaggle,YEAR_1974,38
kaggle,YEAR_1967,37
kaggle,YEAR_1970,37
kaggle,YEAR_1977,36
pursue,weather,36
kaggle,YEAR_1979,35
kaggle,YEAR_1973,35
kaggle,YEAR_1995,33
kaggle,YEAR_1965,33
pursue,light,31
kaggle,YEAR_1960,29
kaggle,YEAR_1976,29
pursue,YEAR_2025,29
pursue,military,28
kaggle,YEAR_1994,27
kaggle,YEAR_1992,26
kaggle,YEAR_1993,26
kaggle,YEAR_1968,24
kaggle,YEAR_1981,24
kaggle,YEAR_1990,24
kaggle,YEAR_1986,23
kaggle,YEAR_1963,22
kaggle,YEAR_1985,22
kaggle,YEAR_1987,22
kaggle,YEAR_1972,21
kaggle,YEAR_1969,20
kaggle,YEAR_1988,19
kaggle,YEAR_1983,19
kaggle,YEAR_1984,18
pursue,fbi,18
kaggle,YEAR_1991,18
kaggle,YEAR_1989,17
kaggle,YEAR_1962,17
pursue,pilot,16
kaggle,YEAR_1950,15
kaggle,YEAR_1982,15
pursue,YEAR_2026,14
kaggle,YEAR_1971,14
kaggle,YEAR_1964,13
kaggle,YEAR_1952,12
kaggle,YEAR_1954,12
kaggle,YEAR_1959,12
kaggle,YEAR_1958,12
pursue,formation,11
kaggle,YEAR_1947,11
kaggle,YEAR_1957,11
pursue,YEAR_1947,10
pursue,army,9
pursue,disc,8
kaggle,YEAR_1951,8
kaggle,YEAR_1953,7
kaggle,YEAR_1949,7
kaggle,YEAR_1955,7
pursue,YEAR_2020,7
pursue,cloud,6
kaggle,YEAR_1956,6
pursue,navy,6
pursue,YEAR_2023,6
pursue,YEAR_2024,5
pursue,missile,5
kaggle,YEAR_1961,5
pursue,YEAR_1948,5
kaggle,YEAR_1943,3
kaggle,YEAR_1945,3
pursue,oval,3
pursue,YEAR_1964,3
pursue,YEAR_1950,3
pursue,YEAR_1949,3
kaggle,fbi,3
pursue,YEAR_1963,3
pursue,YEAR_1961,3
pursue,YEAR_1959,3
pursue,orb,3
pursue,YEAR_1994,2
kaggle,YEAR_1948,2
kaggle,YEAR_1944,2
pursue,triangle,2
pursue,YEAR_1973,2
pursue,YEAR_1941,2
pursue,YEAR_1952,2
pursue,YEAR_1965,2
pursue,disk,2
pursue,YEAR_2001,2
pursue,YEAR_2004,2
kaggle,YEAR_1940,1
kaggle,YEAR_1942,1
kaggle,YEAR_2026,1
kaggle,YEAR_2022,1
kaggle,YEAR_2018,1
kaggle,YEAR_2015,1
pursue,YEAR_1940,1
pursue,YEAR_1954,1
pursue,YEAR_1946,1
pursue,YEAR_1958,1
pursue,YEAR_1957,1
pursue,YEAR_1945,1
pursue,YEAR_1996,1
pursue,YEAR_1992,1
pursue,YEAR_1985,1
pursue,YEAR_1974,1
pursue,YEAR_1971,1
pursue,YEAR_1972,1
pursue,YEAR_1962,1
pursue,YEAR_1966,1
pursue,YEAR_1960,1
pursue,YEAR_2015,1
pursue,YEAR_2013,1
pursue,YEAR_2003,1
pursue,YEAR_2016,1
pursue,YEAR_2018,1
pursue,YEAR_1999,1
pursue,cigar,1
