term,count,source
lights,17970,kaggle
sky,17097,kaggle
bright,13358,kaggle
moving,9267,kaggle
orange,8941,kaggle
white,8174,kaggle
red,7959,kaggle
shaped,7060,kaggle
seen,5748,kaggle
craft,5448,kaggle
ufo,5274,kaggle
flying,5026,kaggle
quot,4533,kaggle
two,4506,kaggle
large,4397,kaggle
objects,4144,kaggle
night,3963,kaggle
green,3756,kaggle
across,3586,kaggle
hovering,3489,kaggle
blue,3435,kaggle
fast,3430,kaggle
north,3402,kaggle
triangle,3392,kaggle
star,3353,kaggle
above,3305,kaggle
shape,3186,kaggle
south,3127,kaggle
east,3122,kaggle
west,3101,kaggle
high,2968,kaggle
formation,2946,kaggle
speed,2777,kaggle
slowly,2700,kaggle
three,2683,kaggle
nuforc,2598,kaggle
note,2596,kaggle
triangular,2547,kaggle
glowing,2519,kaggle
low,2494,kaggle
ball,2477,kaggle
sighting,2476,kaggle
fireball,2405,kaggle
sound,2400,kaggle
moved,2310,kaggle
looked,2281,kaggle
flashing,2215,kaggle
around,2205,kaggle
strange,2171,kaggle
off,2136,kaggle
appeared,2133,kaggle
traveling,1995,kaggle
near,1976,kaggle
round,1974,kaggle
just,1931,kaggle
black,1899,kaggle
disappeared,1809,kaggle
sphere,1781,kaggle
small,1773,kaggle
minutes,1705,kaggle
slow,1684,kaggle
circular,1669,kaggle
observed,1669,kaggle
silent,1625,kaggle
yellow,1609,kaggle
oval,1546,kaggle
while,1542,kaggle
down,1486,kaggle
other,1461,kaggle
away,1438,kaggle
driving,1430,kaggle
silver,1422,kaggle
orb,1418,kaggle
area,1397,kaggle
back,1371,kaggle
aircraft,1363,kaggle
looking,1353,kaggle
time,1342,kaggle
flew,1314,kaggle
seconds,1283,kaggle
uap,984,pursue
number,537,pursue
aircraft,512,pursue
time,496,pursue
name,487,pursue
uscentcom,482,pursue
mission,467,pursue
air,454,pursue
declassified,412,pursue
secret,410,pursue
type,389,pursue
rel,383,pursue
gentext,357,pursue
station,351,pursue
yes,347,pursue
usa,345,pursue
fvey,345,pursue
data,326,pursue
designator,315,pursue
observed,286,pursue
foia,278,pursue
release,274,pursue
approved,274,pursue
staff,270,pursue
mdr,264,pursue
location,258,pursue
chief,256,pursue
force,250,pursue
exemption,250,pursue
dtg,245,pursue
num,240,pursue
aaro,233,pursue
off,227,pursue
last,225,pursue
richard,222,pursue
unit,218,pursue
center,214,pursue
other,203,pursue
harrison,201,pursue
unk,195,pursue
callsign,193,pursue
load,192,pursue
software,191,pursue
flying,187,pursue
radar,185,pursue
description,184,pursue
kinetic,184,pursue
operations,183,pursue
isr,183,pursue
full,182,pursue
estimated,180,pursue
service,179,pursue
additional,177,pursue
altitude,174,pursue
email,173,pursue
phone,170,pursue
fmv,170,pursue
date,167,pursue
october,166,pursue
rank,164,pursue
first,163,pursue
zoct,160,pursue
friendly,159,pursue
unclassified,158,pursue
tasking,157,pursue
wing,148,pursue
thru,146,pursue
classification,146,pursue
details,143,pursue
seen,142,pursue
sensor,141,pursue
ivo,141,pursue
activity,137,pursue
weather,136,pursue
report,134,pursue
accuracy,134,pursue
guided,131,pursue
hours,131,pursue
describe,128,pursue
aam,128,pursue
